LP,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
1,Basic,10,15-01-22,10-06-23,United States,28,Male,Smartphone,30
2,Premium,15,05-09-21,22-06-23,Canada,35,Female,Tablet,30
3,Standard,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,30
4,Standard,12,10-07-22,26-06-23,Australia,51,Female,Laptop,30
5,Basic,10,01-05-23,28-06-23,Germany,33,Male,Smartphone,30
6,Premium,15,18-03-22,27-06-23,France,29,Female,Smart TV,30
7,Standard,12,09-12-21,25-06-23,Brazil,46,Male,Tablet,30
8,Basic,10,02-04-23,24-06-23,Mexico,39,Female,Laptop,30
9,Standard,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,30
10,Premium,15,07-01-23,22-06-23,Italy,44,Female,Smart TV,30
11,Basic,10,16-05-22,22-06-23,United States,31,Female,Smartphone,30
12,Premium,15,23-03-23,28-06-23,Canada,45,Male,Tablet,30
13,Standard,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,30
14,Basic,10,01-08-22,26-06-23,Australia,27,Male,Smartphone,30
15,Standard,12,09-05-23,28-06-23,Germany,38,Female,Smart TV,30
16,Premium,15,07-04-22,27-06-23,France,36,Male,Tablet,30
17,Basic,10,24-01-22,25-06-23,Brazil,30,Female,Laptop,30
18,Standard,12,18-10-21,24-06-23,Mexico,43,Male,Smartphone,30
19,Premium,15,15-02-23,23-06-23,Spain,32,Female,Smart TV,30
20,Basic,10,27-05-23,22-06-23,Italy,41,Male,Tablet,30
21,Premium,15,10-06-23,22-06-23,United States,26,Female,Laptop,30
22,Basic,10,22-07-22,28-06-23,Canada,34,Male,Smartphone,30
23,Standard,12,05-12-21,27-06-23,United Kingdom,49,Female,Smart TV,30
24,Standard,12,03-04-22,26-06-23,Australia,31,Male,Tablet,30
25,Basic,10,14-03-23,28-06-23,Germany,40,Female,Laptop,30
26,Premium,15,12-01-22,27-06-23,France,29,Male,Smartphone,30
27,Basic,10,29-08-22,25-06-23,Brazil,47,Female,Smart TV,30
28,Standard,12,27-09-21,24-06-23,Mexico,33,Male,Tablet,30
29,Premium,15,19-12-22,23-06-23,Spain,36,Female,Laptop,30
30,Basic,10,17-05-23,22-06-23,Italy,42,Male,Smartphone,30
31,Premium,15,03-02-23,22-06-23,United States,28,Female,Smart TV,30
32,Basic,10,07-07-22,28-06-23,Canada,37,Male,Tablet,30
33,Standard,12,21-01-22,27-06-23,United Kingdom,41,Female,Laptop,30
34,Standard,12,25-05-22,26-06-23,Australia,29,Male,Smartphone,30
35,Basic,10,11-04-23,28-06-23,Germany,39,Female,Smart TV,30
36,Premium,15,01-03-22,27-06-23,France,35,Male,Tablet,30
37,Basic,10,14-09-22,25-06-23,Brazil,45,Female,Laptop,30
38,Standard,12,05-11-21,24-06-23,Mexico,32,Male,Smartphone,30
39,Premium,15,28-12-22,23-06-23,Spain,27,Female,Smart TV,30
40,Basic,10,07-03-23,22-06-23,Italy,48,Male,Tablet,30
41,Premium,15,20-01-23,22-06-23,United States,31,Female,Laptop,30
42,Basic,10,15-06-22,28-06-23,Canada,40,Male,Smartphone,30
43,Standard,12,07-02-22,27-06-23,United Kingdom,36,Female,Smart TV,30
44,Standard,12,26-04-22,26-06-23,Australia,29,Male,Tablet,30
45,Basic,10,28-01-23,28-06-23,Germany,43,Female,Laptop,30
46,Premium,15,23-02-22,27-06-23,France,34,Male,Smartphone,30
47,Basic,10,05-10-22,25-06-23,Brazil,39,Female,Smart TV,30
48,Standard,12,15-09-21,24-06-23,Mexico,32,Male,Tablet,30
49,Premium,15,10-11-22,23-06-23,Spain,28,Female,Laptop,30
50,Basic,10,02-06-23,22-06-23,Italy,45,Male,Smartphone,30
51,Premium,15,27-02-23,22-06-23,United States,30,Female,Smart TV,30
52,Basic,10,29-08-22,28-06-23,Canada,37,Male,Tablet,30
53,Standard,12,13-01-22,27-06-23,United Kingdom,41,Female,Laptop,30
54,Standard,12,30-06-22,26-06-23,Australia,29,Male,Smartphone,30
55,Basic,10,20-04-23,28-06-23,Germany,39,Female,Smart TV,30
56,Premium,15,15-03-22,27-06-23,France,36,Male,Tablet,30
57,Basic,10,01-10-22,25-06-23,Brazil,46,Female,Laptop,30
58,Standard,12,08-10-21,24-06-23,Mexico,34,Male,Smartphone,30
59,Premium,15,03-12-22,23-06-23,Spain,27,Female,Smart TV,30
60,Basic,10,14-06-23,22-06-23,Italy,42,Male,Tablet,30
61,Premium,15,08-02-23,22-06-23,United States,28,Female,Laptop,30
62,Basic,10,03-08-22,28-06-23,Canada,37,Male,Smartphone,30
63,Standard,12,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV,30
64,Standard,12,20-06-22,26-06-23,Australia,29,Male,Tablet,30
65,Basic,10,29-03-23,28-06-23,Germany,40,Female,Laptop,30
66,Premium,15,30-01-22,27-06-23,France,29,Male,Smartphone,30
67,Basic,10,18-09-22,25-06-23,Brazil,47,Female,Smart TV,30
68,Standard,12,09-11-21,24-06-23,Mexico,33,Male,Tablet,30
69,Premium,15,23-12-22,23-06-23,Spain,36,Female,Laptop,30
70,Basic,10,08-05-23,22-06-23,Italy,41,Male,Smartphone,30
71,Basic,10,26-01-22,20-06-23,United States,27,Male,Smartphone,30
72,Basic,10,11-10-22,22-06-23,Canada,31,Female,Smartphone,30
73,Standard,12,27-09-22,26-06-23,United Kingdom,28,Female,Laptop,30
74,Premium,13,14-12-22,25-06-23,Australia,41,Female,Smartphone,30
75,Basic,13,28-05-22,26-06-23,Germany,28,Female,Laptop,30
76,Basic,13,29-12-21,26-06-23,France,51,Female,Laptop,30
77,Premium,15,25-12-22,23-06-23,Brazil,45,Female,Smartphone,30
78,Standard,15,18-11-22,28-06-23,Mexico,49,Male,Tablet,30
79,Standard,15,03-12-22,25-06-23,Spain,43,Female,Laptop,30
80,Basic,12,08-11-22,22-06-23,Italy,43,Male,Tablet,30
81,Premium,10,11-01-23,24-06-23,United States,37,Male,Tablet,30
